iso3,year,value
AFG,2020,25.2622103446137
AFG,2019,25.1437258839803
AFG,2018,24.9991645191406
AFG,2017,24.8352821238871
AFG,2016,24.6588345720126
AFG,2015,24.4649118421568
AFG,2014,24.1910166387726
AFG,2013,23.8077136743646
AFG,2012,23.3434391310979
AFG,2011,22.8205691572485
AFG,2010,22.2614799010924
AFG,2009,21.6885475109053
AFG,2008,21.1241481349633
AFG,2007,20.5906579215423
AFG,2006,20.1104530189181
AFG,2005,19.7059095753667
AFG,2004,19.3993593959593
AFG,2003,19.1600346409089
AFG,2002,18.9412480133309
AFG,2001,18.7412381251552
AFG,2000,18.5581995230666
ALB,2020,57.1408592155544
ALB,2019,56.7639071287255
ALB,2018,56.377000259892
ALB,2017,55.980276426546
ALB,2016,55.5738734464276
ALB,2015,55.1579291374894
ALB,2014,54.7325813178673
ALB,2013,54.2979678058548
ALB,2012,53.8637553661449
ALB,2011,53.2917382892465
ALB,2010,51.8815774292716
ALB,2009,50.6132439427449
ALB,2008,49.3850699230207
ALB,2007,48.2022815728384
ALB,2006,47.0701050949378
ALB,2005,45.9937666920583
ALB,2004,44.9784925669394
ALB,2003,44.0295089223208
ALB,2002,43.1520419609419
ALB,2001,42.354513990929
ALB,2000,41.6135829609314
DZA,2020,73.0541126293395
DZA,2019,72.4824561380175
DZA,2018,71.905249845153
DZA,2017,71.3227912436551
DZA,2016,70.7353778263851
DZA,2015,70.1433070861612
DZA,2014,69.5468765157615
DZA,2013,68.9463836079277
DZA,2012,68.3421258553675
DZA,2011,67.7344007507578
DZA,2010,67.1235057867459
DZA,2009,66.5097384559521
DZA,2008,65.901485871159
DZA,2007,65.1690763324461
DZA,2006,64.4154348614309
DZA,2005,63.6598541890144
DZA,2004,62.9023132048725
DZA,2003,62.1427907986812
DZA,2002,61.3812658601162
DZA,2001,60.6177172788536
DZA,2000,59.8521239445692
AGO,2020,67.4568270208187
AGO,2019,66.6637823180533
AGO,2018,65.8732136723372
